scenario,master_seed,outer_fold,development_rows,test_rows,development_groups,test_groups,endpoint,accuracy,f1_macro,concept_f1_macro
concept_noise,2026,1,2304,576,384,96,cascade_logistic,0.3159722222222222,0.25356812731728684,0.5721286941861589
concept_noise,2026,2,2304,576,384,96,class_prior,0.2795138888888889,0.10922659430122117,
concept_noise,2026,2,2304,576,384,96,direct_logistic,0.3402777777777778,0.284332533698732,
concept_noise,2026,2,2304,576,384,96,cascade_logistic,0.3576388888888889,0.28735497838415486,0.5980606792346127
concept_noise,2026,3,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
concept_noise,2026,3,2304,576,384,96,direct_logistic,0.3211805555555556,0.2667261195391933,
concept_noise,2026,3,2304,576,384,96,cascade_logistic,0.328125,0.2600543939866323,0.60555994617385
concept_noise,2026,4,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
concept_noise,2026,4,2304,576,384,96,direct_logistic,0.3194444444444444,0.2610734477951808,
concept_noise,2026,4,2304,576,384,96,cascade_logistic,0.2951388888888889,0.23912842416378316,0.5831644049262129
concept_noise,2027,0,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
concept_noise,2027,0,2304,576,384,96,direct_logistic,0.3055555555555556,0.26286707799891323,
concept_noise,2027,0,2304,576,384,96,cascade_logistic,0.3229166666666667,0.26877903556300414,0.6020857374962654
concept_noise,2027,1,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
concept_noise,2027,1,2304,576,384,96,direct_logistic,0.3038194444444444,0.2635917990078991,
concept_noise,2027,1,2304,576,384,96,cascade_logistic,0.2951388888888889,0.24656312156312155,0.5997762193081632
concept_noise,2027,2,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
concept_noise,2027,2,2304,576,384,96,direct_logistic,0.3125,0.260451399864185,
concept_noise,2027,2,2304,576,384,96,cascade_logistic,0.3315972222222222,0.2698404947287819,0.5913217946871122
concept_noise,2027,3,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
concept_noise,2027,3,2304,576,384,96,direct_logistic,0.3055555555555556,0.25824660230639546,
concept_noise,2027,3,2304,576,384,96,cascade_logistic,0.3072916666666667,0.2475221323213864,0.5786985308060947
concept_noise,2027,4,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
concept_noise,2027,4,2304,576,384,96,direct_logistic,0.3020833333333333,0.2526428299929932,
concept_noise,2027,4,2304,576,384,96,cascade_logistic,0.3246527777777778,0.2634761991017635,0.6140521846853307
concept_noise,2028,0,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
concept_noise,2028,0,2304,576,384,96,direct_logistic,0.3420138888888889,0.3001047470567295,
concept_noise,2028,0,2304,576,384,96,cascade_logistic,0.359375,0.2936729299704083,0.5637869083447696
concept_noise,2028,1,2304,576,384,96,class_prior,0.3055555555555556,0.11702127659574468,
concept_noise,2028,1,2304,576,384,96,direct_logistic,0.296875,0.2616600109249625,
concept_noise,2028,1,2304,576,384,96,cascade_logistic,0.2899305555555556,0.2328930394707805,0.5727233006016765
concept_noise,2028,2,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
concept_noise,2028,2,2304,576,384,96,direct_logistic,0.3611111111111111,0.30673518690522195,
concept_noise,2028,2,2304,576,384,96,cascade_logistic,0.3541666666666667,0.28698984818242734,0.5785314260730284
concept_noise,2028,3,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
concept_noise,2028,3,2304,576,384,96,direct_logistic,0.2916666666666667,0.2503466713025536,
concept_noise,2028,3,2304,576,384,96,cascade_logistic,0.3090277777777778,0.24593859532447235,0.5624318831734098
concept_noise,2028,4,2304,576,384,96,class_prior,0.3038194444444444,0.11651131824234354,
concept_noise,2028,4,2304,576,384,96,direct_logistic,0.3385416666666667,0.2937032416404011,
concept_noise,2028,4,2304,576,384,96,cascade_logistic,0.3125,0.25401401077496283,0.5674703179237078
residual_signal,2026,0,2304,576,384,96,class_prior,0.3020833333333333,0.116,
residual_signal,2026,0,2304,576,384,96,direct_logistic,0.5277777777777778,0.49657335331922037,
residual_signal,2026,0,2304,576,384,96,cascade_logistic,0.3246527777777778,0.2933311081790477,0.668175330304186
residual_signal,2026,1,2304,576,384,96,class_prior,0.3003472222222222,0.11548731642189586,
residual_signal,2026,1,2304,576,384,96,direct_logistic,0.5538194444444444,0.5316062747107233,
residual_signal,2026,1,2304,576,384,96,cascade_logistic,0.3211805555555556,0.2533740937534351,0.6461967134831724
residual_signal,2026,2,2304,576,384,96,class_prior,0.3038194444444444,0.11651131824234354,
residual_signal,2026,2,2304,576,384,96,direct_logistic,0.5243055555555556,0.4858858035344627,
residual_signal,2026,2,2304,576,384,96,cascade_logistic,0.2951388888888889,0.24385868446586947,0.6814141191586724
residual_signal,2026,3,2304,576,384,96,class_prior,0.3003472222222222,0.11548731642189586,
residual_signal,2026,3,2304,576,384,96,direct_logistic,0.5486111111111112,0.5227735506537466,
residual_signal,2026,3,2304,576,384,96,cascade_logistic,0.34375,0.2938846302256087,0.6552591656364392
residual_signal,2026,4,2304,576,384,96,class_prior,0.3003472222222222,0.11548731642189586,
residual_signal,2026,4,2304,576,384,96,direct_logistic,0.5381944444444444,0.5076901207765485,
residual_signal,2026,4,2304,576,384,96,cascade_logistic,0.3541666666666667,0.3109876422681773,0.678438890558529
residual_signal,2027,0,2304,576,384,96,class_prior,0.2777777777777778,0.10869565217391304,
residual_signal,2027,0,2304,576,384,96,direct_logistic,0.5225694444444444,0.492164926402185,
residual_signal,2027,0,2304,576,384,96,cascade_logistic,0.3489583333333333,0.30286958989527757,0.6731563360941331
residual_signal,2027,1,2304,576,384,96,class_prior,0.2795138888888889,0.10922659430122117,
residual_signal,2027,1,2304,576,384,96,direct_logistic,0.5763888888888888,0.5338270455344589,
residual_signal,2027,1,2304,576,384,96,cascade_logistic,0.3524305555555556,0.29879541415070787,0.658908894686612
residual_signal,2027,2,2304,576,384,96,class_prior,0.2795138888888889,0.10922659430122117,
residual_signal,2027,2,2304,576,384,96,direct_logistic,0.5295138888888888,0.4996416505116805,
residual_signal,2027,2,2304,576,384,96,cascade_logistic,0.3576388888888889,0.31587772261059266,0.6791393690463053
residual_signal,2027,3,2304,576,384,96,class_prior,0.2795138888888889,0.10922659430122117,
residual_signal,2027,3,2304,576,384,96,direct_logistic,0.5590277777777778,0.5352764799505947,
residual_signal,2027,3,2304,576,384,96,cascade_logistic,0.3524305555555556,0.29458840727586677,0.682431164330643
residual_signal,2027,4,2304,576,384,96,class_prior,0.2777777777777778,0.10869565217391304,
residual_signal,2027,4,2304,576,384,96,direct_logistic,0.5434027777777778,0.505597959708183,
residual_signal,2027,4,2304,576,384,96,cascade_logistic,0.3923611111111111,0.3278298678468457,0.6736643315068079
residual_signal,2028,0,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
residual_signal,2028,0,2304,576,384,96,direct_logistic,0.53125,0.5117342303900865,
residual_signal,2028,0,2304,576,384,96,cascade_logistic,0.3663194444444444,0.318899336069054,0.6402737972470253
residual_signal,2028,1,2304,576,384,96,class_prior,0.3055555555555556,0.11702127659574468,
residual_signal,2028,1,2304,576,384,96,direct_logistic,0.5451388888888888,0.5160231393723878,
residual_signal,2028,1,2304,576,384,96,cascade_logistic,0.3229166666666667,0.2732449548406731,0.6589034007927878
residual_signal,2028,2,2304,576,384,96,class_prior,0.3020833333333333,0.116,
residual_signal,2028,2,2304,576,384,96,direct_logistic,0.5260416666666666,0.49974025356458796,
residual_signal,2028,2,2304,576,384,96,cascade_logistic,0.3611111111111111,0.3183409337773908,0.6436220160931162
residual_signal,2028,3,2304,576,384,96,class_prior,0.3038194444444444,0.11651131824234354,
residual_signal,2028,3,2304,576,384,96,direct_logistic,0.5798611111111112,0.555505801098405,
residual_signal,2028,3,2304,576,384,96,cascade_logistic,0.3402777777777778,0.3113874593927698,0.6638801600413536
residual_signal,2028,4,2304,576,384,96,class_prior,0.3003472222222222,0.11548731642189586,
residual_signal,2028,4,2304,576,384,96,direct_logistic,0.53125,0.49959200950420735,
residual_signal,2028,4,2304,576,384,96,cascade_logistic,0.3559027777777778,0.29812156527632494,0.6489697950937462
